Country Name,Total Greenhouse Gas Emissions (kilotons),Gini Coefficient,GDP Per Capita (Current US$)
Aruba,,,30220.59452
Africa Eastern and Southern,590040.0053,,1550.180567
Afghanistan,6070.000172,,502.0567706
Africa Western and Central,211719.9993,,1731.311792
Angola,23959.99908,51.3,2487.500996
Albania,5110.000134,30.1,5287.663694
Andorra,490.0000095,,42903.44358
Arab World,1836883.436,,6474.29534
United Arab Emirates,177119.9951,26,46722.26872
Argentina,176899.9939,41.3,11795.15939
Armenia,5710.000038,34.4,4391.923697
American Samoa,,,13195.9359
Antigua and Barbuda,509.9999905,,17527.16963
Australia,387070.0073,34.3,57207.87151
Austria,63060.00137,30.8,51466.55656
Azerbaijan,32729.99954,,4739.84171
Burundi,689.9999976,,231.4464765
Belgium,93660.00366,27.2,47544.98115
Benin,7420.000076,37.8,1194.438214
Burkina Faso,4670.000076,47.3,779.2027097
Bangladesh,83449.99695,,1963.411855
Bulgaria,40900.00153,41.3,9446.717094
Bahrain,30809.99947,,25415.84662
"Bahamas, The",2799.999952,,31738.26716
Bosnia and Herzegovina,22600.00038,,5936.101502
Belarus,58950.00076,25.2,6360.062473
Belize,629.9999952,,6059.162553
Bermuda,,,113050.7369
Bolivia,23229.99954,42.6,3471.006951
Brazil,433989.9902,53.9,9121.083403
Barbados,1240.00001,,18224.89059
Brunei Darussalam,7539.999962,,31241.45396
Bhutan,1049.999952,,3210.706269
Botswana,7309.999943,,6947.800812
Central African Republic,230.0000042,,435.9322636
Canada,580090.0269,,46548.63841
Central Europe and the Baltics,673560.01,,16086.31826
Switzerland,37479.99954,33.1,85217.36915
Channel Islands,,,
Chile,86610.00061,,15795.70846
China,10502929.69,38.5,9905.342004
Cote d'Ivoire,10189.99958,37.2,2275.49595
Cameroon,9590.000153,,1594.05999
"Congo, Dem. Rep.",3119.999886,,546.2125939
"Congo, Rep.",6489.999771,,2512.383979
Colombia,78589.99634,50.4,6782.03792
Comoros,300.0000119,,1531.337972
Cabo Verde,610.0000143,,3442.742003
Costa Rica,8369.999886,48,12383.14997
Caribbean small states,37890.00021,,10353.11645
Cuba,26709.99908,,8831.907222
Curacao,,,18956.09797
Cayman Islands,,,85234.84272
Cyprus,7199.999809,32.7,29418.93555
Czechia,100900.0015,25,23424.48046
Germany,707700.0122,31.7,47939.27829
Djibouti,400.000006,,2755.838293
Dominica,170.0000018,,7833.195013
Denmark,33130.00107,28.2,61591.92887
Dominican Republic,25309.99947,43.7,7947.158207
Algeria,165539.9933,,4171.795011
East Asia & Pacific (excluding high income),12156221.56,,7944.551234
Early-demographic dividend,7405414.813,,3467.178198
East Asia & Pacific,14982328.2,,11310.49888
Europe & Central Asia (excluding high income),2926551.697,,7994.780168
Europe & Central Asia,6189301.717,,25243.79473
Ecuador,40139.99939,45.4,6321.349401
"Egypt, Arab Rep.",247910.0037,,2407.086543
Euro area,2201410.016,,40045.56602
Eritrea,850.0000238,,
Spain,257040.0085,34.7,30379.72111
Estonia,15319.99969,30.3,23165.84948
Ethiopia,17239.99977,,758.2990596
European Union,2862280.026,,35751.21997
Fragile and conflict affected situations,721956.9908,,1847.0764
Finland,44580.00183,27.3,49987.62616
Fiji,1629.999995,,6073.336388
France,307049.9878,32.4,41557.85486
Faroe Islands,,,62576.98993
"Micronesia, Fed. Sts.",170.0000018,,3623.329337
Gabon,5119.999886,,7694.906045
United Kingdom,360730.011,,43306.3083
Georgia,9569.999695,36.4,4722.042423
Ghana,18680.00031,,2180.04157
Gibraltar,,,
Guinea,3750,29.6,944.4172662
"Gambia, The",550.0000119,,683.3243631
Guinea-Bissau,319.9999928,34.8,781.6443091
Equatorial Guinea,6429.999828,,8719.186217
Greece,65019.99664,32.9,19756.99046
Grenada,319.9999928,,9574.279873
Greenland,,,54545.29998
Guatemala,18319.99969,,4485.731255
Guam,,,35902.7259
Guyana,2589.999914,,6094.908859
High income,12459854.42,,44527.61041
"Hong Kong SAR, China",,,48537.56689
Honduras,10050.00019,48.9,2457.688921
Heavily indebted poor countries (HIPC),222430.0002,,972.5576407
Croatia,16430.00031,29.7,15244.43105
Haiti,3289.999962,,1494.224962
Hungary,46400.00153,29.6,16425.1013
IBRD only,21190309.62,,6352.347013
IDA & IBRD total,22076113.77,,5074.964137
IDA total,883461.7337,,1371.081822
IDA blend,467299.9979,,1874.947566
Indonesia,576989.9902,38.4,3902.661668
IDA only,416012.8713,,1115.492791
Isle of Man,,,89429.65459
India,2451929.932,34.6,1974.377788
Not classified,,,
Ireland,37659.99985,30.6,79250.38785
"Iran, Islamic Rep.",637429.9927,42,3873.99534
Iraq,163149.9939,,5601.467061
Iceland,1700.000048,,74461.48
Israel,61080.00183,38.6,42406.84543
Italy,324880.0049,35.2,34622.16967
Jamaica,8609.999657,,5594.493935
Jordan,24780.00069,,4146.407296
Japan,1116150.024,,39727.1166
Kazakhstan,216600.0061,27.8,9812.626371
Kenya,17489.99977,,1845.78294
Kyrgyz Republic,11250,27.7,1308.140165
Cambodia,14579.99992,,1533.315985
Kiribati,90.00000358,,1605.01365
St. Kitts and Nevis,250,,22547.91799
"Korea, Rep.",630640.0146,,33436.92306
Kuwait,91389.99939,,32007.52354
Latin America & Caribbean (excluding high income),1387759.985,,8384.845373
Lao PDR,19360.00061,38.8,2553.361866
Lebanon,27790.00092,,9225.845155
Liberia,1129.999995,,700.0370394
Libya,56619.99893,,11838.00962
St. Lucia,529.9999714,,11563.83747
Latin America & Caribbean,1670331.188,,8916.089485
Least developed countries: UN classification,340499.9957,,1063.336227
Low income,188669.9986,,686.582604
Liechtenstein,140.0000006,,175283.6318
Sri Lanka,21690.00053,,4360.583634
Lower middle income,5658014.182,,2323.931742
Low & middle income,21507888.27,,4898.945053
Lesotho,730.0000191,,1161.7271
Late-demographic dividend,15168288.37,,9839.4686
Lithuania,11649.99962,35.7,19186.35959
Luxembourg,9319.999695,35.4,116786.5117
Latvia,7789.999962,35.1,17865.03109
"Macao SAR, China",,,84923.38678
St. Martin (French part),,,
Morocco,64959.99908,,3492.67334
Monaco,,,194280.8221
Moldova,8539.999962,25.7,4232.206888
Madagascar,3349.999905,,512.5439846
Maldives,2099.999905,,10823.63669
Middle East & North Africa,2512483.598,,7476.772457
Mexico,452570.0073,46.7,9857.028829
Marshall Islands,180.0000072,,4769.190459
Middle income,21319341.59,,5384.002157
North Macedonia,7300.000191,33,6108.740108
Mali,5469.99979,36.1,856.3565318
Malta,1549.999952,28.7,31567.94224
Myanmar,32939.99863,,1274.915657
Middle East & North Africa (excluding high income),1471424.858,,3491.192578
Montenegro,2500,36.8,8850.092733
Mongolia,21549.99924,32.7,4165.022739
Northern Mariana Islands,,,25882.63359
Mozambique,6949.999809,,504.53589
Mauritania,3690.000057,,1749.954236
Mauritius,4130.000114,,11645.98198
Malawi,1379.999995,,537.9322041
Malaysia,244410.0037,,11074.06409
North America,5557241.676,,61174.77734
Namibia,4230.000019,,5687.399093
New Caledonia,,,36312.72787
Niger,1950.000048,37.3,567.3308067
Nigeria,109889.9994,35.1,2125.834282
Nicaragua,5110.000134,,1981.85912
Netherlands,151360.0006,28.1,53044.53244
Norway,37590.00015,27.6,82267.80932
Nepal,15189.99958,,1161.534374
Nauru,59.99999866,,10400.98907
New Zealand,32360.00061,,43250.44097
OECD members,11979080.18,,39348.31436
Oman,75599.99847,,19887.57431
Other small states,189182.8718,,14062.50398
Pakistan,187309.9976,29.6,1620.742857
Panama,10060.00042,49.2,15588.33733
Peru,54590.00015,42.4,6912.110297
Philippines,138570.0073,42.3,3194.674521
Palau,250,,15948.27586
Papua New Guinea,7559.999943,,2584.298769
Poland,311910.0037,30.2,15504.58048
Pre-demographic dividend,463889.9924,,1447.042673
Puerto Rico,,,31615.06679
"Korea, Dem. People's Rep.",50529.99878,,
Portugal,49500,33.5,23562.55452
Paraguay,8470.000267,46,6242.961454
West Bank and Gaza,,,3562.330943
Pacific island small states,3410.000002,,4283.741566
Post-demographic dividend,10953863.97,,45382.30693
French Polynesia,,,20614.89886
Qatar,86419.99817,,66264.08117
Romania,75190.00244,35.8,12494.47747
Russian Federation,1661000,37.5,11287.36035
Rwanda,1289.999962,,769.4373107
South Asia,2768789.926,,1920.208396
Saudi Arabia,521260.0098,,23318.73817
Sudan,20860.00061,,769.8691406
Senegal,10180.00031,38.1,1484.239673
Singapore,47400.00153,,66859.33834
Solomon Islands,360.0000143,,2450.484428
Sierra Leone,860.0000143,35.7,519.6500156
El Salvador,6809.999943,38.6,4145.862351
San Marino,,,48462.96032
Somalia,660.0000262,,379.9860027
Serbia,46130.00107,35,7252.401858
Sub-Saharan Africa (excluding high income),801180.0046,,1622.221534
South Sudan,1549.999952,,
Sub-Saharan Africa,801760.0046,,1623.575743
Small states,230494.2844,,12808.19088
Sao Tome and Principe,140.0000006,,1950.629352
Suriname,2210.000038,,6730.846883
Slovak Republic,33000,25,19486.39368
Slovenia,14069.99969,24.6,26123.74713
Sweden,36009.99832,30,54589.06039
Eswatini,910.0000262,,4020.27305
Sint Maarten (Dutch part),,,28988.25921
Seychelles,579.9999833,32.1,16910.68818
Syrian Arab Republic,27389.99939,,1104.392448
Turks and Caicos Islands,,,26831.97146
Chad,2190.000057,37.5,720.265047
East Asia & Pacific (IDA & IBRD countries),12105559.68,,8032.798909
Europe & Central Asia (IDA & IBRD countries),3329677.1,,8870.39705
Togo,2309.999943,42.4,883.8678323
Thailand,257049.9878,36.4,7124.564544
Tajikistan,8680.000305,,850.6685075
Turkmenistan,73050.00305,,6721.34954
Latin America & the Caribbean (IDA & IBRD countries),1614929.993,,8754.293268
Timor-Leste,610.0000143,,1239.366122
Middle East & North Africa (IDA & IBRD countries),1455579.982,,3490.367204
Tonga,159.9999964,,4649.57939
South Asia (IDA & IBRD),2768789.926,,1920.208396
Sub-Saharan Africa (IDA & IBRD countries),801760.0046,,1623.575743
Trinidad and Tobago,17780.00069,,16164.16133
Tunisia,29889.99939,,3577.124412
Turkiye,411730.011,41.9,9400.778214
Tuvalu,9.999999776,,4401.131201
Tanzania,12000,40.5,1010.937622
Uganda,5860.000134,,793.1280811
Ukraine,185619.9951,26.1,3096.561768
Upper middle income,15662209.7,,9435.780828
Uruguay,6539.999962,39.7,18825.28381
United States,4975310.059,41.4,62823.30944
Uzbekistan,112470.0012,,1597.068337
St. Vincent and the Grenadines,250,,8399.694011
"Venezuela, RB",132130.0049,,
British Virgin Islands,,,
Virgin Islands (U.S.),,,36653.86305
Vietnam,285600.0061,35.7,3267.225009
Vanuatu,209.9999934,,3076.835315
World,34289350.66,,11284.18325
Samoa,289.9999917,,4188.988532
Kosovo,,,4384.048892
"Yemen, Rep.",9720.000267,,701.7148778
South Africa,434350.0061,,7048.522211
Zambia,7730.000019,,1475.204538
Zimbabwe,12380.00011,,2269.177012
